Field_1,Grouping_sku_name_new,volume_bottle_per_POS_month_imp,Brand_Group_Final,Producer,Material,Flavor,Multiserve_Flag,Sugar_Level,Category,Size_Group,Price_Lit_Group
45,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX BOTELLA 351 - 500,1360,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,6 a 10
46,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX CARTON 0 - 180,1463.333333,JUMEX,JUMEX,CARTON,0,PERSONAL,0,JUGOS+NECTARES,0 - 180,1 a 5
47,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX CARTON 181 - 250,1023.333333,JUMEX,JUMEX,CARTON,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,1 a 5
48,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX CARTON 751 - 1000,1385,JUMEX,JUMEX,CARTON,0,PERSONAL,0,JUGOS+NECTARES,751 - 1000,11 a 18
49,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX LATA 251 - 350,1010,JUMEX,JUMEX,LATA,0,PERSONAL,0,JUGOS+NECTARES,251 - 350,6 a 10
50,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX LATA 351 - 500,1120.833333,JUMEX,JUMEX,LATA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,11 a 18
51,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX LATA 751 - 1000,1038.333333,JUMEX,JUMEX,LATA,0,PERSONAL,0,JUGOS+NECTARES,751 - 1000,19 a 207
52,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX MAS LATA 351 - 500,428.333333,JUMEX,JUMEX,LATA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,11 a 18
53,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX UNICO FRESCO BOTELLA 181 - 250,60,JUMEX,JUMEX,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,6 a 10
54,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX JUMEX UNICO FRESCO CARTON 751 - 1000,410,JUMEX,JUMEX,CARTON,0,PERSONAL,0,JUGOS+NECTARES,751 - 1000,19 a 207
55,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX VIGOR CARTON 181 - 250,265,VIGOR,JUMEX,CARTON,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,1 a 5
56,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES JUMEX VIGOR LATA 251 - 350,595,VIGOR,JUMEX,LATA,0,PERSONAL,0,JUGOS+NECTARES,251 - 350,6 a 10
57,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PASCUAL BOING BOTELLA 351 - 500,250,BOING,PASCUAL,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,6 a 10
58,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PASTEURIZADORA LA LAGUNA NUTRI JUGO CARTON 181 - 250,100,NUTRI JUGO,PASTEURIZADORA LA LAGUNA,CARTON,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,1 a 5
59,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART BOTELLA 351 - 500,1115,LIVSMART,PEPSI,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,6 a 10
60,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART CARTON 181 - 250,341.666667,LIVSMART,PEPSI,CARTON,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,1 a 5
61,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART CARTON 351 - 500,862.5,LIVSMART,PEPSI,CARTON,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,6 a 10
62,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART CARTON 751 - 1000,410,LIVSMART,PEPSI,CARTON,0,PERSONAL,0,JUGOS+NECTARES,751 - 1000,11 a 18
63,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES PEPSI LIVSMART LATA 251 - 350,471.666667,LIVSMART,PEPSI,LATA,0,PERSONAL,0,JUGOS+NECTARES,251 - 350,6 a 10
64,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES VALLE REDONDO SONRISA PREMIUM LATA 351 - 500,980,SONRISA PREMIUM,VALLE REDONDO,LATA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,6 a 10
65,JUG+NECT+BEB.REF+NAR+SOYAS NARANJADAS AJEMEX BIG CITRUS BOTELLA 351 - 500,752,BIG CITRUS,AJEMEX,BOTELLA,0,PERSONAL,0,NARANJADAS,351 - 500,1 a 5
